,Item_Visibility,Item_MRP,Outlet_Size,Item_Outlet_Sales,Item_MRP_mean,Item_Weight_mean,Item_Identifier_le,Item_Identifier_group_le,Item_Fat_Content_LF,Item_Fat_Content_reg,Item_Type_Baking Goods,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Outlet_Identifier_OUT010,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Identifier_group_DRA,Item_Identifier_group_DRB,Item_Identifier_group_DRC,Item_Identifier_group_DRD,Item_Identifier_group_DRE,Item_Identifier_group_DRF,Item_Identifier_group_DRG,Item_Identifier_group_DRH,Item_Identifier_group_DRI,Item_Identifier_group_DRJ,Item_Identifier_group_DRK,Item_Identifier_group_DRL,Item_Identifier_group_DRM,Item_Identifier_group_DRN,Item_Identifier_group_DRO,Item_Identifier_group_DRP,Item_Identifier_group_DRQ,Item_Identifier_group_DRY,Item_Identifier_group_DRZ,Item_Identifier_group_FDA,Item_Identifier_group_FDB,Item_Identifier_group_FDC,Item_Identifier_group_FDD,Item_Identifier_group_FDE,Item_Identifier_group_FDF,Item_Identifier_group_FDG,Item_Identifier_group_FDH,Item_Identifier_group_FDI,Item_Identifier_group_FDJ,Item_Identifier_group_FDK,Item_Identifier_group_FDL,Item_Identifier_group_FDM,Item_Identifier_group_FDN,Item_Identifier_group_FDO,Item_Identifier_group_FDP,Item_Identifier_group_FDQ,Item_Identifier_group_FDR,Item_Identifier_group_FDS,Item_Identifier_group_FDT,Item_Identifier_group_FDU,Item_Identifier_group_FDV,Item_Identifier_group_FDW,Item_Identifier_group_FDX,Item_Identifier_group_FDY,Item_Identifier_group_FDZ,Item_Identifier_group_NCA,Item_Identifier_group_NCB,Item_Identifier_group_NCC,Item_Identifier_group_NCD,Item_Identifier_group_NCE,Item_Identifier_group_NCF,Item_Identifier_group_NCG,Item_Identifier_group_NCH,Item_Identifier_group_NCI,Item_Identifier_group_NCJ,Item_Identifier_group_NCK,Item_Identifier_group_NCL,Item_Identifier_group_NCM,Item_Identifier_group_NCN,Item_Identifier_group_NCO,Item_Identifier_group_NCP,Item_Identifier_group_NCQ,Item_Identifier_group_NCR,Item_Identifier_group_NCS,Item_Identifier_group_NCT,Item_Identifier_group_NCU,Item_Identifier_group_NCV,Item_Identifier_group_NCW,Item_Identifier_group_NCX,Item_Identifier_group_NCY,Item_Identifier_group_NCZ
0,0.016047301,249.8092,2,3735.138,140.29769870967746,9.299999999999999,156,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.016087659,249.6092,2,5976.2208,141.67863405172398,9.299999999999999,156,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.026818196000000002,248.9092,2,498.0184,140.77759387387388,9.299999999999999,156,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.016009057,250.6092,3,6474.2392,141.42598240343355,9.299999999999999,156,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.015944801,249.5092,2,6474.2392,139.80179101604278,9.299999999999999,156,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.016054884,250.2092,2,5976.2208,140.9502456404736,9.299999999999999,156,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.016113019,248.8092,2,5976.2208,139.42111922246218,9.299999999999999,156,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.01601936,248.5092,1,6474.2392,143.1224806451612,9.299999999999999,156,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.016760075,141.618,2,2097.27,140.29769870967746,17.5,662,32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.016802225,138.518,2,2376.906,141.67863405172398,17.5,662,32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
